split,seed,policy,mean_oracle_regret,mean_efficiency_error,mean_stop_step,mean_best_score,mean_evaluation_count
calibration,100,DIFFICULTY_BLIND,-0.011160366580567647,0.21099026220503128,29.25,0.9032675502949687,702.0
calibration,100,EQUAL_BUDGET_FIXED,-0.008557865902311501,0.21359276288328746,30.0,0.9035947371167126,720.0
calibration,100,FULL_AB,-0.013892170194679563,0.20825845859091938,29.25,0.9059993539090806,702.0
calibration,100,MINUS_DIVERSITY,-0.010358756735358509,0.21179187205024042,26.52777777777778,0.891832259894204,636.6666666666666
calibration,100,MINUS_GAIN,-0.009673178520138548,0.2124774502654604,28.5,0.8988506747345395,684.0
calibration,100,MINUS_STAGNATION,0.023022751610927386,0.24517338039652628,49.138888888888886,0.9467754043256958,1179.3333333333333
calibration,100,MINUS_UNCERTAINTY,-0.01314540074236077,0.20900522804323818,27.61111111111111,0.8988506747345395,662.6666666666666
calibration,100,ORACLE,0.0,0.2221506287855989,39.55555555555556,0.9323632601032901,949.3333333333334
calibration,100,RANDOM_MATCHED,-0.009562398886146545,0.21258822989945242,29.61111111111111,0.9030801728783254,710.6666666666666
calibration,100,SIGNAL_SHUFFLED,0.037887040718981774,0.2600376695045807,15.194444444444445,0.7993156291065303,364.6666666666667
calibration,100,STAGNATION_ONLY,-0.008254140743517666,0.21389648804208128,27.72222222222222,0.8943934425134743,665.3333333333334
calibration,100,TIME_ONLY,-0.007002126844059169,0.2151485019415398,32.0,0.90985149805846,768.0
calibration,101,DIFFICULTY_BLIND,-0.009367792402503116,0.22597249688172732,29.5,0.8892618781182726,708.0
calibration,101,EQUAL_BUDGET_FIXED,-0.014982983782195487,0.22035730550203497,30.0,0.896830194497965,720.0
calibration,101,FULL_AB,-0.012339459912816162,0.22300082937141427,29.5,0.8922335456285856,708.0
calibration,101,MINUS_DIVERSITY,-0.008774912145591658,0.22656537713863878,26.305555555555557,0.8761906992502502,631.3333333333334
calibration,101,MINUS_GAIN,-0.012138091211265772,0.22320219807296468,28.86111111111111,0.889536517204813,692.6666666666666
calibration,101,MINUS_STAGNATION,0.021469551509103686,0.25680984079333413,49.083333333333336,0.9349219300399992,1178.0
calibration,101,MINUS_UNCERTAINTY,-0.01087516277186457,0.2244651265123659,27.555555555555557,0.883173762376523,661.3333333333334
calibration,101,ORACLE,0.0,0.23534028928423054,44.0,0.9365347107157694,1056.0
calibration,101,RANDOM_MATCHED,-0.015545470954542645,0.2197948183296878,29.333333333333332,0.8947885150036456,704.0
calibration,101,SIGNAL_SHUFFLED,0.0375492678557084,0.2728895571399389,13.88888888888889,0.7813639150822832,333.3333333333333
calibration,101,STAGNATION_ONLY,-0.0033778067036545067,0.23196248258057592,28.27777777777778,0.8784975868638686,678.6666666666666
calibration,101,TIME_ONLY,-0.015207487524987497,0.22013280175924296,32.0,0.904867198240757,768.0
calibration,102,DIFFICULTY_BLIND,-0.011039940758824359,0.20895402087582796,30.11111111111111,0.90866750690195,722.6666666666666
calibration,102,EQUAL_BUDGET_FIXED,-0.011611756505397601,0.20838220512925473,30.0,0.9088052948707452,720.0
calibration,102,FULL_AB,-0.01335565278868367,0.20663830884596865,30.11111111111111,0.9109832189318092,722.6666666666666
calibration,102,MINUS_DIVERSITY,-0.014268341264498116,0.2057256203701542,27.194444444444443,0.900502678240957,652.6666666666666
calibration,102,MINUS_GAIN,-0.011757874791586666,0.20823608684306566,29.5,0.9069982881569343,708.0
calibration,102,MINUS_STAGNATION,0.01428607424842446,0.23428003588307675,49.166666666666664,0.95777725578359,1180.0
calibration,102,MINUS_UNCERTAINTY,-0.013603015772175688,0.20639094586247664,28.194444444444443,0.9037436027486346,676.6666666666666
calibration,102,ORACLE,0.0,0.21999396163465232,38.666666666666664,0.9310477050320143,928.0
calibration,102,RANDOM_MATCHED,-0.013808393115240162,0.20618556851941217,29.5,0.909048806480588,708.0
calibration,102,SIGNAL_SHUFFLED,0.027264392110023024,0.2472583537446753,13.88888888888889,0.8069951184775469,333.3333333333333
calibration,102,STAGNATION_ONLY,-0.008634776118782704,0.2113591855158696,30.38888888888889,0.9073474117063527,729.3333333333334
calibration,102,TIME_ONLY,-0.008676003420323066,0.21131795821432928,32.0,0.9136820417856707,768.0
calibration,103,DIFFICULTY_BLIND,-0.008551380160559948,0.21921159296843806,28.833333333333332,0.8934186153648953,692.0
calibration,103,EQUAL_BUDGET_FIXED,-0.012171645117170766,0.21559132801182723,30.0,0.9015961719881727,720.0
calibration,103,FULL_AB,-0.007344657154073296,0.22041831597492473,28.833333333333332,0.8922118923584088,692.0
calibration,103,MINUS_DIVERSITY,-0.0026528498912868747,0.22511012323771118,26.22222222222222,0.8773204323178445,629.3333333333334
calibration,103,MINUS_GAIN,-0.007167285501826449,0.22059568762717155,28.25,0.8897558748728286,678.0
calibration,103,MINUS_STAGNATION,0.02370058751791067,0.25146356064690867,48.97222222222222,0.9398341824086468,1175.3333333333333
calibration,103,MINUS_UNCERTAINTY,-0.005252979090253284,0.22250999403874472,27.11111111111111,0.8833927837390332,650.6666666666666
calibration,103,ORACLE,0.0,0.22776297312899796,40.888888888888886,0.9319592490932241,981.3333333333334
calibration,103,RANDOM_MATCHED,-0.010215741843342372,0.2175472312856556,29.444444444444443,0.8974701298254555,706.6666666666666
calibration,103,SIGNAL_SHUFFLED,0.03359081573446622,0.2613537888634643,14.555555555555555,0.7955038500254247,349.3333333333333
calibration,103,STAGNATION_ONLY,-0.0012774616415946337,0.22648551148740337,27.52777777777778,0.8810448704570413,660.6666666666666
calibration,103,TIME_ONLY,-0.005666387437009982,0.222096585691988,32.0,0.9029034143080119,768.0
calibration,104,DIFFICULTY_BLIND,-0.006238651791105474,0.22504580090627613,30.11111111111111,0.8925757268715017,722.6666666666666
calibration,104,EQUAL_BUDGET_FIXED,-0.004743650407928953,0.22654080228945267,30.0,0.8906466977105474,720.0
calibration,104,FULL_AB,-0.006855648680952151,0.22442880401642945,30.11111111111111,0.8931927237613484,722.6666666666666
calibration,104,MINUS_DIVERSITY,-0.004258401575125264,0.22702605112225635,26.86111111111111,0.8779001641555214,644.6666666666666
calibration,104,MINUS_GAIN,-0.00902578756984104,0.22225866512754056,29.555555555555557,0.8931927237613484,709.3333333333334
calibration,104,MINUS_STAGNATION,0.02137713287954189,0.2526615855769234,48.72222222222222,0.9376595949786319,1169.3333333333333
calibration,104,MINUS_UNCERTAINTY,-0.006248054457638184,0.22503639823974345,28.02777777777778,0.884447108704701,672.6666666666666
calibration,104,ORACLE,0.0,0.2312844526973816,42.0,0.9327780473026185,1008.0
calibration,104,RANDOM_MATCHED,0.0012857710900305236,0.23257022378741216,29.694444444444443,0.8834236998236991,712.6666666666666
calibration,104,SIGNAL_SHUFFLED,0.031940194308552994,0.2632246470059346,14.75,0.7943925404940655,354.0
calibration,104,STAGNATION_ONLY,-0.0043367894339103995,0.2269476632634712,32.47222222222222,0.8998969547920844,779.3333333333334
calibration,104,TIME_ONLY,-0.0013317463797192662,0.22995270631766238,32.0,0.8950472936823376,768.0
calibration,105,DIFFICULTY_BLIND,-0.004453272674149562,0.19607415044545107,29.38888888888889,0.9187261967767711,705.3333333333334
calibration,105,EQUAL_BUDGET_FIXED,-0.0054974809996998315,0.19502994211990077,30.0,0.922157557880099,720.0
calibration,105,FULL_AB,-0.006048482588358988,0.19447894053124165,29.38888888888889,0.9203214066909804,705.3333333333334
calibration,105,MINUS_DIVERSITY,-0.006529560482215017,0.1939978626373856,26.805555555555557,0.9107113387515032,643.3333333333334
